epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1007.14,1.39622,0.24174,1.5861,0.19702,0.12853,0.06242,0.03954,1.32776,0.22793,1.49756,0.001,0.001,0.001
2,2014.5,1.24686,0.22618,1.4665,0.22201,0.16521,0.1048,0.06681,1.24463,0.21564,1.45102,0.000998474,0.000998474,0.000998474
3,3015.07,1.20329,0.21733,1.42151,0.26353,0.19186,0.13514,0.08961,1.1781,0.20279,1.38192,0.000993906,0.000993906,0.000993906
4,4017.43,1.17135,0.21178,1.39102,0.26563,0.21805,0.16194,0.10888,1.14171,0.19405,1.33025,0.000986323,0.000986323,0.000986323
5,5023.58,1.15111,0.20753,1.37113,0.31637,0.23289,0.18551,0.12606,1.11303,0.18912,1.30525,0.000975773,0.000975773,0.000975773
6,6027.14,1.13351,0.2034,1.35347,0.32663,0.25057,0.20807,0.14319,1.08599,0.184,1.28127,0.00096232,0.00096232,0.00096232
7,7031.23,1.12192,0.19977,1.33994,0.33293,0.25738,0.22526,0.15626,1.07058,0.18004,1.26245,0.000946048,0.000946048,0.000946048
8,8033.26,1.10895,0.19718,1.32722,0.35118,0.2713,0.23823,0.16605,1.05682,0.1776,1.25022,0.000927057,0.000927057,0.000927057
9,9037.75,1.10924,0.19445,1.32353,0.35305,0.27958,0.24908,0.1744,1.0466,0.17524,1.23884,0.000905463,0.000905463,0.000905463
10,10042.5,1.09181,0.19202,1.30859,0.36137,0.28401,0.25494,0.17911,1.04016,0.17371,1.23223,0.000881401,0.000881401,0.000881401
11,11049.9,1.08268,0.19019,1.30081,0.38009,0.28641,0.2617,0.18434,1.03567,0.17262,1.22736,0.000855018,0.000855018,0.000855018
12,12054.2,1.07464,0.18904,1.29274,0.36443,0.28932,0.26659,0.18768,1.03113,0.17169,1.22268,0.000826477,0.000826477,0.000826477
13,13057.6,1.07216,0.18686,1.28981,0.3696,0.29451,0.27112,0.19092,1.02667,0.17091,1.2183,0.000795954,0.000795954,0.000795954
14,14058.3,1.06409,0.18465,1.27854,0.37194,0.29778,0.27495,0.19399,1.02328,0.17016,1.21498,0.000763637,0.000763637,0.000763637
15,15060.7,1.05509,0.18373,1.27536,0.38578,0.29735,0.2789,0.19691,1.02003,0.16937,1.21155,0.000729725,0.000729725,0.000729725
16,16065.5,1.05817,0.18165,1.27037,0.38991,0.30088,0.28301,0.20018,1.01723,0.1685,1.20799,0.000694428,0.000694428,0.000694428
17,17064.5,1.0466,0.18045,1.26328,0.39455,0.30342,0.28679,0.20327,1.0134,0.16768,1.20394,0.000657963,0.000657963,0.000657963
18,18067.3,1.04209,0.17926,1.25885,0.39427,0.31035,0.29144,0.20685,1.01114,0.16676,1.20041,0.000620555,0.000620555,0.000620555
19,19073.9,1.03723,0.17724,1.25261,0.40509,0.31302,0.29632,0.21073,1.00888,0.16584,1.197,0.000582435,0.000582435,0.000582435
20,20078.3,1.035,0.17675,1.24776,0.4075,0.31689,0.30107,0.21464,1.00646,0.16486,1.19371,0.000543837,0.000543837,0.000543837
21,21080.1,1.02356,0.17518,1.24113,0.4117,0.32028,0.30526,0.21788,1.00369,0.16385,1.1902,0.000505,0.000505,0.000505
22,22084.9,1.02674,0.17454,1.24169,0.41575,0.32289,0.30929,0.22085,1.0009,0.16293,1.18663,0.000466163,0.000466163,0.000466163
23,23086.7,1.02054,0.1728,1.23522,0.4206,0.32593,0.31423,0.22465,0.99852,0.16193,1.18333,0.000427565,0.000427565,0.000427565
24,24090.4,1.01679,0.17224,1.23409,0.4244,0.32869,0.3183,0.22797,0.99566,0.16108,1.1796,0.000389445,0.000389445,0.000389445
25,25090.7,1.01067,0.171,1.22845,0.42636,0.33294,0.323,0.23133,0.99378,0.16011,1.17682,0.000352037,0.000352037,0.000352037
26,26092.3,1.00798,0.16986,1.2236,0.42762,0.33841,0.32767,0.23458,0.9917,0.15924,1.1741,0.000315572,0.000315572,0.000315572
27,27093.1,1.00718,0.16945,1.22092,0.43271,0.34023,0.33163,0.23804,0.98985,0.15834,1.17142,0.000280275,0.000280275,0.000280275
28,28093.1,0.99929,0.16859,1.21752,0.43722,0.34327,0.33595,0.24128,0.98814,0.15758,1.1691,0.000246363,0.000246363,0.000246363
29,29097.7,0.99596,0.16763,1.215,0.43688,0.3475,0.33931,0.24373,0.98608,0.15691,1.16654,0.000214046,0.000214046,0.000214046
30,30100.6,0.99109,0.16687,1.21162,0.43728,0.34865,0.34234,0.24619,0.98448,0.15629,1.1645,0.000183523,0.000183523,0.000183523
31,31099.7,1.00477,0.16025,1.20206,0.43876,0.35239,0.34541,0.24807,0.98329,0.15567,1.16261,0.000154982,0.000154982,0.000154982
32,32103,0.99737,0.1585,1.19637,0.4386,0.35706,0.34819,0.25028,0.98185,0.15512,1.16075,0.000128599,0.000128599,0.000128599
33,33106.4,0.99438,0.15762,1.19348,0.44142,0.35725,0.35047,0.25229,0.98043,0.15458,1.15892,0.000104537,0.000104537,0.000104537
34,34105.5,0.99208,0.15745,1.19368,0.44149,0.36233,0.35322,0.25398,0.97979,0.15411,1.15786,8.29431e-05,8.29431e-05,8.29431e-05
35,35106.8,0.99017,0.15612,1.19043,0.44672,0.36285,0.35559,0.25607,0.97878,0.15363,1.15622,6.39518e-05,6.39518e-05,6.39518e-05
