model_name,mAP@0.5,mAP@0.75,mAP@[0.5:0.95],precision,recall,head_classes_AP,tail_classes_AP,medium_classes_AP,model_type,num_images,total_detections,avg_detections_per_image,confidence_threshold,inference_time_ms,device,timestamp
YOLOv8s,0.524712401523375,0.4322636365015454,0.39600744843942104,0.19749540745845862,0.4597482847246592,0.4940965087898348,0.3718986555329208,0.3743748926603578,YOLO-based,5000,31894,6.3788,0.25,56.234695948660374,cuda,2025-10-19T18:32:06.965510
YOLO11s,0.5333722538851016,0.44273523516316976,0.40552705658052207,0.20100821050160786,0.4642426190562665,0.5081787607668307,0.38108973058440565,0.3807075667857157,YOLO-based,5000,30515,6.103,0.25,26.283000595867634,cuda,2025-10-19T18:33:02.037598
YOLO12s,0.533157629627339,0.4469275118089997,0.40942572334434774,0.20362701550942522,0.46517471825318457,0.5178600142981346,0.3809022172456467,0.3849346703867445,YOLO-based,5000,28621,5.7242,0.25,17.947318963706493,cuda,2025-10-19T18:34:11.545674
RT-DETR-L,0.6789682337124145,0.5485728204356028,0.5059860677668816,0.3130809289104661,0.6044875577077455,0.5956270882578414,0.48615552229209186,0.4796913377765962,YOLO-based,5000,65035,13.007,0.25,25.71309870108962,cuda,2025-10-19T18:36:54.954107
Faster R-CNN,0.6260285223268497,0.4878854613412189,0.44125297033106947,0.2651616066638115,0.5260361011005208,0.5295710421176264,0.4188940212401889,0.4214716558033835,TorchVision,5000,162895,32.579,0.5,40.49464998970032,cuda,2025-10-19T18:40:34.582180
RetinaNet,0.4595661623683464,0.36523114204397816,0.3325194766584853,0.15156857712711003,0.3748651077086571,0.4317106418605353,0.29032635161855896,0.3155739562621372,TorchVision,5000,562205,112.441,0.5,31.71285673980713,cuda,2025-10-19T18:43:41.782528
