model_name,mAP@0.5,mAP@0.75,mAP@[0.5:0.95],precision,recall,head_classes_AP,tail_classes_AP,medium_classes_AP,model_type,num_images,total_detections,avg_detections_per_image,confidence_threshold,inference_time_ms,device,timestamp
YOLOv8s,0.3187346507900877,0.2645520150417525,0.2400696948886857,0.09903149416486082,0.3151420831807432,,,,YOLO-based,5000,31191,6.2382,0.25,71.56840618699789,cuda,2025-10-28T16:06:18.580123
YOLO11s,0.2887753437888025,0.23731899019287533,0.2162357960682992,0.08171161530187186,0.2825145772923504,,,,YOLO-based,5000,27939,5.5878,0.25,35.28051730245352,cuda,2025-10-28T16:08:33.387001
YOLO12s,0.23728879555600463,0.1973620981140555,0.1800326626429862,0.058673235660429326,0.24114419845605783,,,,YOLO-based,5000,26446,5.2892,0.25,26.44055336713791,cuda,2025-10-28T16:11:07.773100
RT-DETR-L,0.5265557714073523,0.3935297631628096,0.36176111989374465,0.16260985678847145,0.44745238058058306,,,,YOLO-based,5000,50426,10.0852,0.25,39.68374989926815,cuda,2025-10-28T16:16:16.612223
